Date,TractID,Season,Holiday,Weekday,Workingday,Temp,Humidity,Windspeed,Weather,Casual,Reg,TotalCnt
2013-01-04,46,1,0,5,1,3,54,12,1,2,88,90
2013-01-04,47,1,0,5,1,3,54,12,1,3,16,19
2013-01-04,48,1,0,5,1,3,54,12,1,8,49,57
2013-01-04,50,1,0,5,1,3,54,12,1,0,4,4
2013-01-04,51,1,0,5,1,3,54,12,1,0,1,1
2013-01-04,52,1,0,5,1,3,54,12,1,0,2,2
2013-01-04,53,1,0,5,1,3,54,12,1,0,2,2
2013-01-04,55,1,0,5,1,3,54,12,1,1,81,82
2013-01-04,56,1,0,5,1,3,54,12,1,4,27,31
2013-01-04,57,1,0,5,1,3,54,12,1,1,66,67
2013-01-04,58,1,0,5,1,3,54,12,1,4,34,38
2013-01-04,59,1,0,5,1,3,54,12,1,0,29,29
2013-01-04,60,1,0,5,1,3,54,12,1,0,13,13
2013-01-04,61,1,0,5,1,3,54,12,1,0,14,14
2013-01-04,63,1,0,5,1,3,54,12,1,1,10,11
2013-01-04,64,1,0,5,1,3,54,12,1,0,3,3
2013-01-04,65,1,0,5,1,3,54,12,1,0,4,4
2013-01-04,66,1,0,5,1,3,54,12,1,0,1,1
2013-01-04,67,1,0,5,1,3,54,12,1,30,139,169
2013-01-04,68,1,0,5,1,3,54,12,1,16,111,127
2013-01-04,70,1,0,5,1,3,54,12,1,0,27,27
2013-01-04,71,1,0,5,1,3,54,12,1,4,172,176
2013-01-04,72,1,0,5,1,3,54,12,1,23,346,369
2013-01-04,73,1,0,5,1,3,54,12,1,6,111,117
2013-01-04,76,1,0,5,1,3,54,12,1,0,45,45
2013-01-04,77,1,0,5,1,3,54,12,1,0,43,43
2013-01-04,78,1,0,5,1,3,54,12,1,1,45,46
2013-01-04,79,1,0,5,1,3,54,12,1,4,32,36
2013-01-04,80,1,0,5,1,3,54,12,1,0,18,18
2013-01-04,81,1,0,5,1,3,54,12,1,0,10,10
2013-01-04,92,1,0,5,1,3,54,12,1,4,47,51
2013-01-04,93,1,0,5,1,3,54,12,1,0,17,17
2013-01-04,94,1,0,5,1,3,54,12,1,1,1,2
2013-01-04,96,1,0,5,1,3,54,12,1,1,8,9
2013-01-04,97,1,0,5,1,3,54,12,1,0,7,7
2013-01-04,98,1,0,5,1,3,54,12,1,1,21,22
2013-01-04,114,1,0,5,1,3,54,12,1,0,1,1
2013-01-05,1,1,0,6,0,4,49,9,1,31,64,95
2013-01-05,2,1,0,6,0,4,49,9,1,0,6,6
2013-01-05,3,1,0,6,0,4,49,9,1,2,10,12
2013-01-05,4,1,0,6,0,4,49,9,1,3,20,23
2013-01-05,5,1,0,6,0,4,49,9,1,1,19,20
2013-01-05,6,1,0,6,0,4,49,9,1,1,13,14
2013-01-05,7,1,0,6,0,4,49,9,1,0,3,3
2013-01-05,8,1,0,6,0,4,49,9,1,1,12,13
2013-01-05,9,1,0,6,0,4,49,9,1,0,9,9
2013-01-05,10,1,0,6,0,4,49,9,1,2,16,18
2013-01-05,14,1,0,6,0,4,49,9,1,0,3,3
2013-01-05,15,1,0,6,0,4,49,9,1,0,8,8
2013-01-05,16,1,0,6,0,4,49,9,1,2,53,55
2013-01-05,17,1,0,6,0,4,49,9,1,2,51,53
2013-01-05,18,1,0,6,0,4,49,9,1,1,58,59
2013-01-05,19,1,0,6,0,4,49,9,1,6,101,107
2013-01-05,20,1,0,6,0,4,49,9,1,0,25,25
2013-01-05,21,1,0,6,0,4,49,9,1,1,37,38
2013-01-05,22,1,0,6,0,4,49,9,1,0,8,8
2013-01-05,25,1,0,6,0,4,49,9,1,9,113,122
2013-01-05,26,1,0,6,0,4,49,9,1,1,67,68
2013-01-05,27,1,0,6,0,4,49,9,1,11,126,137
2013-01-05,28,1,0,6,0,4,49,9,1,7,65,72
2013-01-05,29,1,0,6,0,4,49,9,1,6,68,74
2013-01-05,30,1,0,6,0,4,49,9,1,9,82,91
2013-01-05,31,1,0,6,0,4,49,9,1,3,32,35
2013-01-05,32,1,0,6,0,4,49,9,1,3,50,53
2013-01-05,34,1,0,6,0,4,49,9,1,1,81,82
2013-01-05,36,1,0,6,0,4,49,9,1,26,215,241
2013-01-05,37,1,0,6,0,4,49,9,1,1,78,79
2013-01-05,38,1,0,6,0,4,49,9,1,7,142,149
2013-01-05,39,1,0,6,0,4,49,9,1,27,148,175
2013-01-05,40,1,0,6,0,4,49,9,1,7,51,58
2013-01-05,41,1,0,6,0,4,49,9,1,164,43,207
2013-01-05,42,1,0,6,0,4,49,9,1,10,26,36
2013-01-05,43,1,0,6,0,4,49,9,1,1,48,49
2013-01-05,44,1,0,6,0,4,49,9,1,0,21,21
2013-01-05,45,1,0,6,0,4,49,9,1,1,23,24
2013-01-05,46,1,0,6,0,4,49,9,1,3,87,90
2013-01-05,47,1,0,6,0,4,49,9,1,4,25,29
2013-01-05,48,1,0,6,0,4,49,9,1,4,36,40
2013-01-05,49,1,0,6,0,4,49,9,1,0,1,1
2013-01-05,50,1,0,6,0,4,49,9,1,0,1,1
2013-01-05,52,1,0,6,0,4,49,9,1,0,1,1
2013-01-05,53,1,0,6,0,4,49,9,1,0,2,2
2013-01-05,55,1,0,6,0,4,49,9,1,4,65,69
2013-01-05,56,1,0,6,0,4,49,9,1,6,34,40
2013-01-05,57,1,0,6,0,4,49,9,1,4,62,66
2013-01-05,58,1,0,6,0,4,49,9,1,3,47,50
2013-01-05,59,1,0,6,0,4,49,9,1,0,14,14
2013-01-05,60,1,0,6,0,4,49,9,1,1,9,10
2013-01-05,61,1,0,6,0,4,49,9,1,1,21,22
2013-01-05,63,1,0,6,0,4,49,9,1,0,7,7
2013-01-05,66,1,0,6,0,4,49,9,1,0,2,2
2013-01-05,67,1,0,6,0,4,49,9,1,36,59,95
2013-01-05,68,1,0,6,0,4,49,9,1,19,51,70
2013-01-05,70,1,0,6,0,4,49,9,1,4,20,24
2013-01-05,71,1,0,6,0,4,49,9,1,6,110,116
2013-01-05,72,1,0,6,0,4,49,9,1,24,130,154
2013-01-05,73,1,0,6,0,4,49,9,1,6,52,58
2013-01-05,76,1,0,6,0,4,49,9,1,4,57,61
2013-01-05,77,1,0,6,0,4,49,9,1,4,55,59
2013-01-05,78,1,0,6,0,4,49,9,1,12,22,34
2013-01-05,79,1,0,6,0,4,49,9,1,4,11,15
2013-01-05,80,1,0,6,0,4,49,9,1,1,19,20
2013-01-05,81,1,0,6,0,4,49,9,1,0,5,5
2013-01-05,92,1,0,6,0,4,49,9,1,0,17,17
2013-01-05,93,1,0,6,0,4,49,9,1,2,14,16
2013-01-05,94,1,0,6,0,4,49,9,1,0,1,1
2013-01-05,96,1,0,6,0,4,49,9,1,1,5,6
2013-01-05,97,1,0,6,0,4,49,9,1,0,3,3
2013-01-05,98,1,0,6,0,4,49,9,1,9,12,21
2013-01-05,114,1,0,6,0,4,49,9,1,0,1,1
2013-01-06,1,1,0,7,0,7,54,11,2,20,54,74
2013-01-06,2,1,0,7,0,7,54,11,2,2,8,10
2013-01-06,3,1,0,7,0,7,54,11,2,0,10,10
2013-01-06,4,1,0,7,0,7,54,11,2,0,24,24
2013-01-06,5,1,0,7,0,7,54,11,2,1,18,19
2013-01-06,6,1,0,7,0,7,54,11,2,2,11,13
2013-01-06,7,1,0,7,0,7,54,11,2,0,7,7
2013-01-06,8,1,0,7,0,7,54,11,2,1,10,11
2013-01-06,9,1,0,7,0,7,54,11,2,1,16,17
2013-01-06,10,1,0,7,0,7,54,11,2,2,13,15
2013-01-06,14,1,0,7,0,7,54,11,2,0,1,1
2013-01-06,15,1,0,7,0,7,54,11,2,0,6,6
2013-01-06,16,1,0,7,0,7,54,11,2,3,58,61
2013-01-06,17,1,0,7,0,7,54,11,2,1,51,52
2013-01-06,18,1,0,7,0,7,54,11,2,0,81,81
2013-01-06,19,1,0,7,0,7,54,11,2,5,91,96
2013-01-06,20,1,0,7,0,7,54,11,2,0,22,22
2013-01-06,21,1,0,7,0,7,54,11,2,1,36,37
2013-01-06,22,1,0,7,0,7,54,11,2,0,5,5
2013-01-06,25,1,0,7,0,7,54,11,2,8,109,117
2013-01-06,26,1,0,7,0,7,54,11,2,3,85,88
2013-01-06,27,1,0,7,0,7,54,11,2,8,139,147
2013-01-06,28,1,0,7,0,7,54,11,2,6,79,85
2013-01-06,29,1,0,7,0,7,54,11,2,6,83,89
2013-01-06,30,1,0,7,0,7,54,11,2,6,102,108
2013-01-06,31,1,0,7,0,7,54,11,2,0,34,34
2013-01-06,32,1,0,7,0,7,54,11,2,2,61,63
2013-01-06,34,1,0,7,0,7,54,11,2,5,82,87
2013-01-06,36,1,0,7,0,7,54,11,2,27,215,242
2013-01-06,37,1,0,7,0,7,54,11,2,4,87,91
2013-01-06,38,1,0,7,0,7,54,11,2,15,201,216
2013-01-06,39,1,0,7,0,7,54,11,2,52,130,182
2013-01-06,40,1,0,7,0,7,54,11,2,6,59,65
2013-01-06,41,1,0,7,0,7,54,11,2,207,70,277
2013-01-06,42,1,0,7,0,7,54,11,2,5,37,42
2013-01-06,43,1,0,7,0,7,54,11,2,1,30,31
2013-01-06,44,1,0,7,0,7,54,11,2,0,24,24
2013-01-06,45,1,0,7,0,7,54,11,2,1,29,30
2013-01-06,46,1,0,7,0,7,54,11,2,7,101,108
2013-01-06,47,1,0,7,0,7,54,11,2,0,37,37
2013-01-06,48,1,0,7,0,7,54,11,2,1,36,37
2013-01-06,50,1,0,7,0,7,54,11,2,1,0,1
2013-01-06,52,1,0,7,0,7,54,11,2,1,0,1
2013-01-06,53,1,0,7,0,7,54,11,2,0,2,2
2013-01-06,55,1,0,7,0,7,54,11,2,2,79,81
2013-01-06,56,1,0,7,0,7,54,11,2,5,33,38
2013-01-06,57,1,0,7,0,7,54,11,2,3,60,63
2013-01-06,58,1,0,7,0,7,54,11,2,4,44,48
2013-01-06,59,1,0,7,0,7,54,11,2,1,24,25
2013-01-06,60,1,0,7,0,7,54,11,2,0,9,9
2013-01-06,61,1,0,7,0,7,54,11,2,0,12,12
2013-01-06,63,1,0,7,0,7,54,11,2,0,8,8
2013-01-06,64,1,0,7,0,7,54,11,2,0,1,1
2013-01-06,65,1,0,7,0,7,54,11,2,0,2,2
2013-01-06,66,1,0,7,0,7,54,11,2,0,2,2
2013-01-06,67,1,0,7,0,7,54,11,2,21,56,77
2013-01-06,68,1,0,7,0,7,54,11,2,32,50,82
2013-01-06,70,1,0,7,0,7,54,11,2,6,18,24
2013-01-06,71,1,0,7,0,7,54,11,2,15,125,140
2013-01-06,72,1,0,7,0,7,54,11,2,38,118,156
2013-01-06,73,1,0,7,0,7,54,11,2,8,44,52
2013-01-06,76,1,0,7,0,7,54,11,2,8,35,43
2013-01-06,77,1,0,7,0,7,54,11,2,10,39,49
2013-01-06,78,1,0,7,0,7,54,11,2,9,22,31
2013-01-06,79,1,0,7,0,7,54,11,2,3,10,13
2013-01-06,80,1,0,7,0,7,54,11,2,3,9,12
2013-01-06,81,1,0,7,0,7,54,11,2,0,3,3
2013-01-06,92,1,0,7,0,7,54,11,2,3,27,30
2013-01-06,93,1,0,7,0,7,54,11,2,1,5,6
2013-01-06,94,1,0,7,0,7,54,11,2,0,3,3
2013-01-06,96,1,0,7,0,7,54,11,2,1,5,6
2013-01-06,98,1,0,7,0,7,54,11,2,1,6,7
2013-01-06,114,1,0,7,0,7,54,11,2,1,1,2
2013-01-07,1,1,0,1,1,6,54,12,2,14,84,98
